dataset_profile,k,primary_scope,subject_count,episode_count,p0_macro_f1_subject_mean,p1_macro_f1_subject_mean,delta_macro_f1_subject_mean,delta_macro_f1_ci95_low,delta_macro_f1_ci95_high,subjects_improved,subjects_equal,subjects_harmed,wilcoxon_statistic_exploratory,wilcoxon_pvalue_exploratory,selected_policy_id
grabmyo,2,cross_session,9,180,0.9879248261671633,0.9879248261671633,0.0,0.0,0.0,0,9,0,0.0,1.0,k2-policy31
grabmyo,3,cross_session,9,180,0.9879248261671633,0.9879248261671633,0.0,0.0,0.0,0,9,0,0.0,1.0,k3-policy31
