k,class_label,n_evaluation_rows_across_episodes,p0_recall,p1_recall,delta_recall,p0_confidence_mean,p1_confidence_mean
2,rest,3420,0.995906432748538,0.9944444444444445,-0.0014619883040934978,0.6933033677750154,0.6084648772336041
2,hand_close,3420,0.962280701754386,0.962280701754386,0.0,0.8029924936414733,0.686055107588579
2,wrist_flexion,3420,0.9941520467836257,0.9941520467836257,0.0,0.8912700603871142,0.7636046489190869
2,wrist_extension,3420,1.0,1.0,0.0,0.9516420912076814,0.8247035033731243
3,rest,3240,0.995679012345679,0.9938271604938271,-0.0018518518518518823,0.6949046715730479,0.6103047504729572
3,hand_close,3240,0.9632716049382716,0.9632716049382716,0.0,0.8053599942437607,0.6872734911735411
3,wrist_flexion,3240,0.9938271604938271,0.9938271604938271,0.0,0.8916865692258664,0.7632985447987698
3,wrist_extension,3240,1.0,1.0,0.0,0.9503560238891909,0.8224644402086386
