k,arm,method,fit_subject_count,selection_subject_count,fit_row_count,selection_row_count,argmax_preserved,fit_nll,fit_brier,fit_ece_equal_width,fit_ece_equal_mass,fit_accuracy,fit_confidence_mean,selection_nll,selection_brier,selection_ece_equal_width,selection_ece_equal_mass,selection_accuracy,selection_confidence_mean,temperature
2,p0,identity,20,7,1520,532,True,0.1510467411798517,0.05163644289233172,0.11963478642355456,0.11920044310048654,0.9940789473684211,0.8748785042679345,0.14548744119640702,0.045553740582231536,0.1241829050135442,0.12418290501354405,1.0,0.8758170949864559,
2,p0,scalar_temperature,20,7,1520,532,True,0.015660334805357806,0.008869362076861988,0.004194411523596338,0.0012652133653347879,0.9940789473684211,0.9949507143376414,0.0024801649042274637,0.0007606388819344578,0.002232456974965068,0.0022324569749650833,1.0,0.9977675430250349,0.22375466297877883
2,p1,identity,20,7,1520,532,True,0.29149369875996706,0.10089939784614803,0.23751982709126804,0.23751982709126807,0.9960526315789474,0.7585328044876795,0.29006405051304945,0.09767810184616085,0.24334658417760485,0.24334658417760485,1.0,0.7566534158223952,
2,p1,scalar_temperature,20,7,1520,532,True,0.01375930095897291,0.007642863400063583,0.003158872636060002,0.0007984805646796051,0.9960526315789474,0.9952541510142677,0.0023200421033218225,0.0007751784850593431,0.0020734942683601275,0.002073494268360062,1.0,0.99792650573164,0.17008595372327376
3,p0,identity,20,7,1440,504,True,0.15046981780362598,0.05134328342786242,0.11979077631968628,0.11933230281200354,0.9944444444444445,0.8751121416324409,0.14729410349967414,0.04635347749952418,0.12461845344627019,0.12307438686163286,0.998015873015873,0.8749414861542401,
3,p0,scalar_temperature,20,7,1440,504,True,0.014041768395233202,0.00797443167709491,0.0035621958954097873,0.0012952290300825306,0.9944444444444445,0.9954575937695251,0.005491501634862878,0.003271297392132413,0.0031877197849566356,0.0002537236702698242,0.998015873015873,0.9980356224505387,0.21357499959267473
3,p1,identity,20,7,1440,504,True,0.29360768976884916,0.10206210600489765,0.2399461655217923,0.23950918910902153,0.9965277777777778,0.7570185886687563,0.29169250737199726,0.09854384698464273,0.24205893502801268,0.24205893502801268,0.998015873015873,0.7559569379878602,
3,p1,scalar_temperature,20,7,1440,504,True,0.01250954723447932,0.006721562474272066,0.0033784881649537185,0.0008627037197677914,0.9965277777777778,0.9956650740580101,0.004983529756835185,0.0031023122354223867,0.0029118902289686594,0.0005121889194523595,0.998015873015873,0.9983427066242061,0.16158212204017794
