k,arm,score_name,threshold_subject_count,threshold_row_count,pooled_aurc,subject_mean_aurc
2,p0,max_probability,7,532,0.00015382731736957936,0.0005395347469103945
2,p0,probability_margin,7,532,0.0001649802906066345,0.0005656416809120653
2,p0,one_minus_normalized_entropy,7,532,0.00013568239972182149,0.0004854174736111564
2,p1,max_probability,7,532,0.00013558544660910663,0.0005406382885433419
2,p1,probability_margin,7,532,0.00013920025285549183,0.0005686935012018539
2,p1,one_minus_normalized_entropy,7,532,0.00013913875331632837,0.0005406382885433419
3,p0,max_probability,7,504,0.0001514293184144668,0.0005737299113864264
3,p0,probability_margin,7,504,0.0001637023036154722,0.0006024853749244986
3,p0,one_minus_normalized_entropy,7,504,0.0001312311402006596,0.0005131140916754574
3,p1,max_probability,7,504,0.00015548764005207837,0.0006037924414489564
3,p1,probability_margin,7,504,0.00015542152562598993,0.0006069418493602691
3,p1,one_minus_normalized_entropy,7,504,0.00015944008424356636,0.0006321371126507705
