k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
2,p0,max_probability,0.38973504024843575,1.0,0.1927710843373494,0.8072289156626506,83,0
2,p0,max_probability,0.4069210966358978,0.9879518072289156,0.18292682926829268,0.8170731707317073,82,1
2,p0,max_probability,0.4121396534180247,0.9759036144578314,0.1728395061728395,0.8271604938271605,81,2
2,p0,max_probability,0.41912381115952824,0.963855421686747,0.175,0.825,80,3
2,p0,max_probability,0.42696583987602543,0.9518072289156626,0.17721518987341772,0.8227848101265823,79,4
2,p0,max_probability,0.4288831159161704,0.9397590361445783,0.1794871794871795,0.8205128205128205,78,5
2,p0,max_probability,0.43199401402275794,0.9397590361445783,0.1794871794871795,0.8205128205128205,78,5
2,p0,max_probability,0.44784252503466543,0.927710843373494,0.16883116883116883,0.8311688311688312,77,6
2,p0,max_probability,0.4573972740849309,0.9156626506024096,0.15789473684210525,0.8421052631578947,76,7
2,p0,max_probability,0.46608797290201087,0.9036144578313253,0.14666666666666667,0.8533333333333334,75,8
2,p0,max_probability,0.47800700146834035,0.891566265060241,0.14864864864864866,0.8513513513513513,74,9
2,p0,max_probability,0.4899801046883359,0.8795180722891566,0.1506849315068493,0.8493150684931506,73,10
2,p0,max_probability,0.4910921783725055,0.8795180722891566,0.1506849315068493,0.8493150684931506,73,10
2,p0,max_probability,0.49130916835966054,0.8795180722891566,0.1506849315068493,0.8493150684931506,73,10
2,p0,max_probability,0.49369629470001203,0.8433734939759037,0.14285714285714285,0.8571428571428571,70,13
2,p0,max_probability,0.5010431503547431,0.8313253012048193,0.14492753623188406,0.855072463768116,69,14
2,p0,max_probability,0.5131852606798016,0.8313253012048193,0.14492753623188406,0.855072463768116,69,14
2,p0,max_probability,0.5179404744260832,0.8192771084337349,0.1323529411764706,0.8676470588235294,68,15
2,p0,max_probability,0.5363226047008679,0.8072289156626506,0.11940298507462686,0.8805970149253731,67,16
2,p0,max_probability,0.5515666553238727,0.7951807228915663,0.12121212121212122,0.8787878787878788,66,17
2,p0,max_probability,0.5568250909118587,0.7831325301204819,0.12307692307692308,0.8769230769230769,65,18
2,p0,max_probability,0.5606824602015852,0.7710843373493976,0.125,0.875,64,19
2,p0,max_probability,0.5646922948182802,0.7710843373493976,0.125,0.875,64,19
2,p0,max_probability,0.5764567304179337,0.7590361445783133,0.1111111111111111,0.8888888888888888,63,20
2,p0,max_probability,0.5826630524666065,0.7469879518072289,0.11290322580645161,0.8870967741935484,62,21
2,p0,max_probability,0.5836553370143449,0.7469879518072289,0.11290322580645161,0.8870967741935484,62,21
2,p0,max_probability,0.5852546621396718,0.7228915662650602,0.1,0.9,60,23
2,p0,max_probability,0.5946221378737294,0.7228915662650602,0.1,0.9,60,23
2,p0,max_probability,0.5970669035784226,0.7108433734939759,0.0847457627118644,0.9152542372881356,59,24
2,p0,max_probability,0.5978605815559418,0.6987951807228916,0.08620689655172414,0.9137931034482759,58,25
2,p0,max_probability,0.601018361839174,0.6867469879518072,0.08771929824561403,0.9122807017543859,57,26
2,p0,max_probability,0.608017148286373,0.6746987951807228,0.08928571428571429,0.9107142857142857,56,27
2,p0,max_probability,0.6180207785074044,0.6626506024096386,0.09090909090909091,0.9090909090909091,55,28
2,p0,max_probability,0.6312845463742649,0.6626506024096386,0.09090909090909091,0.9090909090909091,55,28
2,p0,max_probability,0.6404869623404726,0.6506024096385542,0.09259259259259259,0.9074074074074074,54,29
2,p0,max_probability,0.6435989809545495,0.6506024096385542,0.09259259259259259,0.9074074074074074,54,29
2,p0,max_probability,0.6438004028230809,0.6265060240963856,0.057692307692307696,0.9423076923076923,52,31
2,p0,max_probability,0.6462610192817004,0.6144578313253012,0.058823529411764705,0.9411764705882353,51,32
2,p0,max_probability,0.6568678272488682,0.6144578313253012,0.058823529411764705,0.9411764705882353,51,32
2,p0,max_probability,0.6640306215338057,0.6024096385542169,0.06,0.94,50,33
2,p0,max_probability,0.669754283168138,0.5903614457831325,0.061224489795918366,0.9387755102040817,49,34
2,p0,max_probability,0.6746275566838813,0.5783132530120482,0.0625,0.9375,48,35
2,p0,max_probability,0.6777115121264944,0.5783132530120482,0.0625,0.9375,48,35
2,p0,max_probability,0.6786353324478082,0.5542168674698795,0.06521739130434782,0.9347826086956522,46,37
2,p0,max_probability,0.6881044907412739,0.5542168674698795,0.06521739130434782,0.9347826086956522,46,37
2,p0,max_probability,0.6900821375801729,0.5421686746987951,0.044444444444444446,0.9555555555555556,45,38
2,p0,max_probability,0.6904021431391061,0.5421686746987951,0.044444444444444446,0.9555555555555556,45,38
2,p0,max_probability,0.6945813511833936,0.5180722891566265,0.023255813953488372,0.9767441860465116,43,40
2,p0,max_probability,0.7023664132640993,0.5060240963855421,0.023809523809523808,0.9761904761904762,42,41
2,p0,max_probability,0.7039852704335777,0.5060240963855421,0.023809523809523808,0.9761904761904762,42,41
2,p0,max_probability,0.7073253961798079,0.4819277108433735,0.025,0.975,40,43
2,p0,max_probability,0.7092042169120624,0.4819277108433735,0.025,0.975,40,43
2,p0,max_probability,0.7101509572582463,0.4457831325301205,0.02702702702702703,0.972972972972973,37,46
2,p0,max_probability,0.7179142280969546,0.4457831325301205,0.02702702702702703,0.972972972972973,37,46
2,p0,max_probability,0.72991622201973,0.43373493975903615,0.027777777777777776,0.9722222222222222,36,47
2,p0,max_probability,0.7338670280033995,0.42168674698795183,0.02857142857142857,0.9714285714285714,35,48
2,p0,max_probability,0.7342046748589943,0.40963855421686746,0.029411764705882353,0.9705882352941176,34,49
2,p0,max_probability,0.7383382946489693,0.39759036144578314,0.030303030303030304,0.9696969696969697,33,50
2,p0,max_probability,0.7530776054667339,0.3855421686746988,0.0,1.0,32,51
2,p0,max_probability,0.7698228936414747,0.3855421686746988,0.0,1.0,32,51
2,p0,max_probability,0.7730902669438633,0.37349397590361444,0.0,1.0,31,52
2,p0,max_probability,0.7759821156094378,0.3373493975903614,0.0,1.0,28,55
2,p0,max_probability,0.7957430814908621,0.3373493975903614,0.0,1.0,28,55
2,p0,max_probability,0.7971890058236492,0.3373493975903614,0.0,1.0,28,55
2,p0,max_probability,0.8092400366385318,0.30120481927710846,0.0,1.0,25,58
2,p0,max_probability,0.8273165828608555,0.30120481927710846,0.0,1.0,25,58
2,p0,max_probability,0.8485495757528954,0.25301204819277107,0.0,1.0,21,62
2,p0,max_probability,0.8697825686449351,0.25301204819277107,0.0,1.0,21,62
2,p0,max_probability,0.9609296441972615,0.1566265060240964,0.0,1.0,13,70
2,p0,max_probability,0.9999926765768294,0.1566265060240964,0.0,1.0,13,70
