combo_id,feature_arm,feature_dimension,model_id,model_tier,model_family,status,completed_folds,expected_folds,cv_window_accuracy_mean,cv_window_accuracy_std,cv_window_balanced_accuracy_mean,cv_window_balanced_accuracy_std,cv_window_macro_f1_mean,cv_window_macro_f1_std,cv_window_weighted_f1_mean,cv_window_weighted_f1_std,cv_window_macro_precision_mean,cv_window_macro_precision_std,cv_window_macro_recall_mean,cv_window_macro_recall_std,cv_window_cohen_kappa_mean,cv_window_cohen_kappa_std,cv_repetition_accuracy_mean,cv_repetition_accuracy_std,cv_repetition_balanced_accuracy_mean,cv_repetition_balanced_accuracy_std,cv_repetition_macro_f1_mean,cv_repetition_macro_f1_std,cv_repetition_weighted_f1_mean,cv_repetition_weighted_f1_std,cv_repetition_macro_precision_mean,cv_repetition_macro_precision_std,cv_repetition_macro_recall_mean,cv_repetition_macro_recall_std,cv_repetition_cohen_kappa_mean,cv_repetition_cohen_kappa_std,cv_subject_macro_f1_mean_mean,cv_subject_macro_f1_mean_std,cv_subject_balanced_accuracy_mean_mean,cv_subject_balanced_accuracy_mean_std,cv_fit_predict_seconds_mean,cv_fit_predict_seconds_std,is_dummy,rank
F-ALL14__logistic_regression,F-ALL14,42,logistic_regression,core,linear,COMPLETED,5,5,0.7076165564405497,0.053565316981348844,0.707339247301373,0.05372454664007145,0.707762318677603,0.05149961728210132,0.7080883200080058,0.051284279810541525,0.7177050664848365,0.05355870117295673,0.707339247301373,0.05372454664007145,0.6101763231919939,0.07140862354631594,0.7772408963585434,0.07456564744584121,0.7771018062397371,0.07457387282005057,0.7785460135634374,0.07284353357905735,0.7787241469393071,0.07283000002264531,0.7899051442267762,0.07626214389640255,0.7771018062397371,0.07457387282005057,0.7029949819631611,0.09942046975542244,0.7443393412552524,0.08707816456223985,0.7776190476190477,0.07454852777350654,9.750088436000079,2.463503075717653,False,1.0
F-SP6__random_forest,F-SP6,18,random_forest,core,tree_ensemble,COMPLETED,5,5,0.698808565975395,0.029778840329254652,0.6985560445404999,0.029971601138755796,0.6996936874821751,0.028608208935920268,0.6999811460315634,0.028349219355969187,0.7075494852383143,0.029690428538967816,0.6985560445404999,0.029971601138755796,0.5984245029084059,0.03969533162288229,0.7705182072829132,0.049308074794968314,0.7704351395730706,0.04936058915670146,0.7712144317204045,0.048566976943725776,0.771349372048066,0.0484698641614716,0.7832431997151095,0.05264325159957104,0.7704351395730706,0.04936058915670146,0.6940389899723421,0.06573484853345636,0.7369883316779049,0.05833026063713938,0.770952380952381,0.04904183969649102,51.741989352400104,1.6336540296406379,False,2.0
F-ALL14__linear_svm,F-ALL14,42,linear_svm,core,linear,COMPLETED,5,5,0.7056208899458997,0.045860329979593016,0.7053712216794563,0.045952780127783935,0.705400659503123,0.04308960899222043,0.7057265290298067,0.04294806453989036,0.7158078744497313,0.04520074595725543,0.7053712216794563,0.045952780127783935,0.6075250162041403,0.06113616422135909,0.765546218487395,0.06349461053824515,0.7654351395730706,0.06351116816170904,0.7667356587109474,0.062403977742016475,0.7669609154803217,0.06237777565575113,0.7782948452097393,0.06627037407242967,0.7654351395730706,0.06351116816170904,0.6874270656879352,0.08465483062754116,0.7321588826100105,0.07418274296543372,0.7655357142857142,0.06349614322210154,4.698562442200091,0.49673258830457334,False,3.0
F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,36,logistic_regression,core,linear,COMPLETED,5,5,0.7033017976857663,0.055166777004752844,0.7029819307657819,0.05539434562269914,0.7034498083052277,0.05347779799392032,0.7037990570282471,0.05319316346240353,0.7127177668226234,0.055496030178668,0.7029819307657819,0.05539434562269914,0.6044155432628321,0.07354648701301367,0.7595658263305322,0.07690149063051166,0.7594252873563219,0.07693867368434355,0.7601741941239066,0.07450641468072823,0.7603489600678082,0.07445360573149182,0.7733737597579367,0.07735282790880288,0.7594252873563219,0.07693867368434355,0.6794292767631122,0.10253318858397897,0.7231357009024524,0.08991855466626203,0.7595833333333334,0.07689692942570626,8.557503592800003,2.3518337228875774,False,4.0
F-NO-MOMENTS12__linear_svm,F-NO-MOMENTS12,36,linear_svm,core,linear,COMPLETED,5,5,0.7041162337499334,0.04880361282893896,0.7038298927714969,0.04895861566540179,0.7039680052157911,0.0465394575113508,0.7043106115967027,0.04632134168807304,0.7133326119341483,0.048391785853034365,0.7038298927714969,0.04895861566540179,0.6055112400545068,0.06505933648325639,0.7545518207282913,0.06988846039235169,0.7544252873563217,0.06993137871264596,0.7555474496257792,0.06853737413466407,0.7557806247923976,0.06846046979657766,0.7674151504203481,0.07102377881260882,0.7544252873563217,0.06993137871264596,0.6727711901624944,0.09317274756330218,0.718095172044199,0.08110316328198944,0.7545833333333334,0.06987791021203264,3.5578631364001922,0.5712039013910728,False,5.0
F-ALL14__random_forest,F-ALL14,42,random_forest,core,tree_ensemble,COMPLETED,5,5,0.6911607052481792,0.03242249052692257,0.690786277696601,0.032570217351071726,0.6908309609790931,0.029866923454793366,0.6912079506695902,0.029697878527250702,0.6974273374864509,0.030072929495702005,0.690786277696601,0.032570217351071726,0.5882104205603998,0.04323142270665157,0.7461764705882353,0.06280205747969725,0.7460344827586207,0.06289373271225135,0.7459934135091959,0.0601901291551264,0.7461687250131079,0.06006962245001988,0.759791199196607,0.06757032494778979,0.7460344827586207,0.06289373271225135,0.6615778572773489,0.08373015656177282,0.7099327687767537,0.08167174097946696,0.7466666666666667,0.062494444197508874,77.69558576160007,1.2521034236603767,False,6.0
F-NO-MOMENTS12__random_forest,F-NO-MOMENTS12,36,random_forest,core,tree_ensemble,COMPLETED,5,5,0.69072889268475,0.031535155166571426,0.6903467789895871,0.03163494097734607,0.6904805361169541,0.0289676354041735,0.690854529694507,0.02885009582415549,0.6967375574045761,0.028765938673066302,0.6903467789895871,0.03163494097734607,0.587629932782842,0.04204891579017457,0.7445238095238096,0.05835810941283451,0.7443103448275862,0.05847016961301924,0.7429868418098458,0.054753912672969154,0.7431792019904895,0.05464258430781209,0.7582026462060651,0.06273225448351784,0.7443103448275862,0.05847016961301924,0.6593525232549623,0.07781732224464569,0.7073265258133679,0.07771554533690454,0.7450000000000001,0.05811865258054229,75.3755432162,2.3194021548302346,False,7.0
F-TD8__logistic_regression,F-TD8,24,logistic_regression,core,linear,COMPLETED,5,5,0.6661006480071787,0.04273966142127459,0.6657848411528302,0.04245146234080865,0.6633479179262055,0.04014688303496478,0.6637345925469967,0.040534854384577816,0.6719545238412282,0.03642667170644326,0.6657848411528302,0.04245146234080865,0.5548229656940477,0.05700665688482292,0.7253641456582633,0.07724711672868825,0.7251970443349753,0.07710807574421688,0.7219637383757324,0.07375949776318974,0.7222059320273864,0.07398174606530013,0.7389217364923051,0.07295832055423931,0.7251970443349753,0.07710807574421688,0.6338359987569324,0.103010481673356,0.6816432062539979,0.08358080067647342,0.7244642857142858,0.07651261882201044,6.126619341999958,1.7895524812989305,False,8.0
F-ALL14__lda_shrinkage,F-ALL14,42,lda_shrinkage,core,linear,COMPLETED,5,5,0.6484811758408783,0.04209664695344947,0.6483861700549847,0.042065510804350795,0.6521314177135868,0.03899949727438926,0.6524023990602528,0.039085110502937906,0.6745374892564868,0.04010713928205977,0.6483861700549847,0.042065510804350795,0.5313886150510096,0.05615578249315243,0.7076470588235294,0.061963851920557964,0.7076354679802955,0.06195947045301471,0.7079687686979322,0.05929422085378528,0.7081606500992175,0.05937258432897443,0.7363367527890002,0.06429717248188821,0.7076354679802955,0.06195947045301471,0.6102584778031627,0.08264217025136167,0.6587846892018165,0.071826648320692,0.7072619047619048,0.06182274786997914,0.174598424999931,0.009490871631047792,False,9.0
F-NO-MOMENTS12__lda_shrinkage,F-NO-MOMENTS12,36,lda_shrinkage,core,linear,COMPLETED,5,5,0.6510349686962917,0.04172065654934522,0.6508972156721266,0.04169376463402564,0.6551888250976917,0.03797193109286508,0.6554922972436625,0.038034011072494024,0.6770877151407412,0.03961563709697741,0.6508972156721266,0.04169376463402564,0.5347883425228444,0.05564288466299544,0.7059943977591037,0.05426771648820937,0.705911330049261,0.05421666611458353,0.7071298414074384,0.05069266990681479,0.7073266062960636,0.05082965326689794,0.7336762144777572,0.05335277130466596,0.705911330049261,0.05421666611458353,0.6080268523746785,0.07237817298263607,0.6593813508309306,0.06642353532630023,0.7060119047619048,0.05427853440405478,0.16010125219991095,0.006626704433881774,False,10.0
F-TD8__random_forest,F-TD8,24,random_forest,core,tree_ensemble,COMPLETED,5,5,0.6506290245951675,0.025184163156266225,0.6501648026426858,0.024872907416105285,0.6487436479949065,0.024594812433684183,0.649204221071199,0.024870982150830123,0.652441092022937,0.02359121224742619,0.6501648026426858,0.024872907416105285,0.5341623859327743,0.03357210527976393,0.7049859943977592,0.029598162186116283,0.7048440065681445,0.02959522432694852,0.70171343950991,0.026948001277448817,0.7019213996170297,0.026900633181243524,0.7079560653872797,0.02329326512001636,0.7048440065681445,0.02959522432694852,0.606679365079365,0.03946521620999161,0.6661406118800524,0.041807487253649335,0.7054761904761906,0.029629228077399913,57.16956052439991,2.1738505667789214,False,11.0
F-TD8__linear_svm,F-TD8,24,linear_svm,core,linear,COMPLETED,5,5,0.6593660769161629,0.04156287533231919,0.6590547756445637,0.041228463506665695,0.6517850626118202,0.04099526029365299,0.6521755904730419,0.04144001117595036,0.6618863755968091,0.038668568278346124,0.6590547756445637,0.041228463506665695,0.5458449806824193,0.055442724892518884,0.7020028011204482,0.0660392527557237,0.7019211822660099,0.06595151475372887,0.6920909203648395,0.06780216024880498,0.6923167009912217,0.06806493267740589,0.7109131812499515,0.06498725194093229,0.7019211822660099,0.06595151475372887,0.6027116750601884,0.08809680495787228,0.6607600641471163,0.073185182132128,0.7011309523809522,0.06511708885362563,1.031096623400026,0.04360842633066928,False,12.0
F-TD8__lda_shrinkage,F-TD8,24,lda_shrinkage,core,linear,COMPLETED,5,5,0.6025899175464454,0.035734237354833574,0.6024637393229517,0.03556176463882487,0.6093862889108054,0.03481604015506036,0.6097029552030883,0.03524638136777618,0.632956280377828,0.0325111420456851,0.6024637393229517,0.03556176463882487,0.4702063144816043,0.04776427424595478,0.6752941176470588,0.051819108158487996,0.6754269293924466,0.05200553942502995,0.6774379797461737,0.051774284140950894,0.6775940684733863,0.051994742506563794,0.7002720316699623,0.06051301171620725,0.6754269293924466,0.05200553942502995,0.5671489018738667,0.0692184746059453,0.6372351048033822,0.05726709394326579,0.6740476190476191,0.05010419981401029,0.5561968709998837,0.2582339201584754,False,13.0
