direction,feature_arm,model,source_reference_subject_macro_f1,target_zero_shot_macro_f1,target_balanced_accuracy,transfer_delta,transfer_ratio,coverage,selective_risk,target_fit_count,source_calibrated_confidence_applied_to_target,prediction_freeze_sha256
mendeley_to_grabmyo,TD8,lda_shrinkage,1.0,1.0,1.0,0.0,0.9999999999989999,1.0,0.0,0,True,825a95bb7cd2ef058e1b3404d2f95aaaa84111f8e9dfe4113bd184237b2694d0
grabmyo_to_mendeley,TD8,lda_shrinkage,1.0,1.0,1.0,0.0,0.9999999999989999,1.0,0.0,0,True,825a95bb7cd2ef058e1b3404d2f95aaaa84111f8e9dfe4113bd184237b2694d0
