subject_id,session_id,protocol_id,protocol_version,task_label,metric_id,repetition_count,within_subject_cv_percent,cv_supportability,robust_mad_ratio,rmad_supportability,reference_repetition_id,query_repetition_id,absolute_difference,symmetric_relative_difference,pair_supportability
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R04,0.0024269521236419678,0.10271930712970556,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R05,0.0034622736275196075,0.1433968942268992,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R03,0.0010335557162761688,0.03858261863687229,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R04,0.001430833712220192,0.05598834101195528,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R05,0.0003955122083425522,0.015169077538785082,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R03,mendeley-S001-grip-R04,0.0024643894284963608,0.09451991471687869,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R03,mendeley-S001-grip-R05,0.001429067924618721,0.053743832610058453,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__rms,5,7.337297215509419,SUPPORTED,0.05932052505752798,SUPPORTED,mendeley-S001-grip-R04,mendeley-S001-grip-R05,0.0010353215038776398,0.04082793217696822,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R02,0.002662971615791321,0.13785460022327878,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R03,0.0036794301122426987,0.1855909903654648,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R04,0.0020227059721946716,0.10647437066828015,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R05,0.0030104555189609528,0.15445369358938027,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R03,0.0010164584964513779,0.04804368441533346,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R04,0.0006402656435966492,0.03149580326178153,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R05,0.00034748390316963196,0.016687923819496298,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R03,mendeley-S001-grip-R04,0.001656724140048027,0.07950940977561473,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R03,mendeley-S001-grip-R05,0.0006689745932817459,0.03136204672094542,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH2__mav,5,6.937628248129595,SUPPORTED,0.04597171979367295,SUPPORTED,mendeley-S001-grip-R04,mendeley-S001-grip-R05,0.0009877495467662811,0.04817739657660134,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R02,0.014015043154358864,0.3792659817305172,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R03,0.005405521020293236,0.19842024348081902,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R04,0.0171766746789217,0.44575503920865645,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R01,mendeley-S001-grip-R05,0.0015368293970823288,0.05003682812691777,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R03,0.0194205641746521,0.5670186136568548,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R04,0.0031616315245628357,0.06942322527931918,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R02,mendeley-S001-grip-R05,0.012478213757276535,0.3307985667634543,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R03,mendeley-S001-grip-R04,0.022582195699214935,0.6302396098201313,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R03,mendeley-S001-grip-R05,0.006942350417375565,0.24784190818781002,SUPPORTED
1,session-1,dataset-primary4,1.0.0,hand_close,CH3__rms,5,27.297447623447596,SUPPORTED,0.32693617085344456,SUPPORTED,mendeley-S001-grip-R04,mendeley-S001-grip-R05,0.01563984528183937,0.3979371252336134,SUPPORTED
