subject_id,session_id,task_label,median_cosine,median_pearson,median_normalized_euclidean,pair_count
1,session-1,hand_close,0.8570812940597534,0.8150184199013257,0.31266702711582184,10
1,session-1,rest,0.7387222647666931,0.6700044899656094,0.3344220519065857,10
1,session-1,wrist_extension,0.8700427114963531,0.8530055570678147,0.6082887053489685,10
1,session-1,wrist_flexion,0.8350405097007751,0.8380676723668403,0.4477265328168869,10
10,session-1,hand_close,0.7367888391017914,0.7029803827651728,0.37575119733810425,10
10,session-1,rest,0.8229886591434479,0.7686859762108798,0.38374441862106323,10
10,session-1,wrist_extension,0.9206837713718414,0.9074910746992476,0.3479080945253372,10
10,session-1,wrist_flexion,0.9090672731399536,0.8651110201049416,0.3365984857082367,10
11,session-1,hand_close,0.436231791973114,0.4092294582928412,0.556736946105957,10
11,session-1,rest,0.795383095741272,0.7944253163647279,0.3938741981983185,10
11,session-1,wrist_extension,0.8878145217895508,0.8457894116365369,0.4855935871601105,10
11,session-1,wrist_flexion,0.6505484580993652,0.6088982267671249,0.693281352519989,10
12,session-1,hand_close,0.6954834163188934,0.6563612865146988,0.34916818141937256,10
12,session-1,rest,0.6918937861919403,0.6729723502587461,0.38421881198883057,10
12,session-1,wrist_extension,0.9484697878360748,0.9207392670711216,0.5899439752101898,10
12,session-1,wrist_flexion,0.7530174851417542,0.6674210298692198,0.662653923034668,10
13,session-1,hand_close,0.7054460048675537,0.6526969389828629,0.42364880442619324,10
13,session-1,rest,0.8170184791088104,0.7486222051319688,0.372871458530426,10
13,session-1,wrist_extension,0.8914989531040192,0.8489446219495813,0.40677161514759064,10
13,session-1,wrist_flexion,0.8398363292217255,0.7650860008540006,0.4361587166786194,10
14,session-1,hand_close,0.8374451696872711,0.8513430225178378,0.24752317368984222,10
14,session-1,rest,0.8678117394447327,0.7999102269123624,0.22571732848882675,10
14,session-1,wrist_extension,0.9823549091815948,0.9772672318363091,0.19523490220308304,10
14,session-1,wrist_flexion,0.6702451407909393,0.5570753892264217,0.44173119962215424,10
15,session-1,hand_close,0.48318982124328613,0.4291245137117299,0.9091953933238983,10
15,session-1,rest,0.7443646490573883,0.6735252708887927,0.5374995470046997,10
15,session-1,wrist_extension,0.5273389518260956,0.44645196514182467,0.7727475762367249,10
15,session-1,wrist_flexion,0.8028033971786499,0.715982833798398,0.48551060259342194,10
16,session-1,hand_close,0.8753884434700012,0.873984822869752,0.29027438163757324,10
16,session-1,rest,0.720819741487503,0.7102205629819123,0.4659568816423416,10
16,session-1,wrist_extension,0.9532057046890259,0.9389086362663133,0.33758488297462463,10
16,session-1,wrist_flexion,0.5488869547843933,0.5178256013381295,0.598431408405304,10
17,session-1,hand_close,0.6525927782058716,0.6822082410518577,0.933962881565094,10
17,session-1,rest,0.599250078201294,0.5868669335748724,0.5934426188468933,10
17,session-1,wrist_extension,0.981978178024292,0.9771809014517954,0.44143058359622955,10
17,session-1,wrist_flexion,0.8500573635101318,0.842248682582057,0.48724761605262756,10
18,session-1,hand_close,0.7829560041427612,0.7932630208293818,0.290177658200264,10
18,session-1,rest,0.7525816857814789,0.781477947066906,0.46521613001823425,10
18,session-1,wrist_extension,0.9682286977767944,0.9619764405640647,0.4806741774082184,10
18,session-1,wrist_flexion,0.7311871349811554,0.67350591548835,0.4274468719959259,10
19,session-1,hand_close,0.770453542470932,0.6899451027948251,0.3742096871137619,10
19,session-1,rest,0.6992559432983398,0.577132161488407,0.4435931295156479,10
19,session-1,wrist_extension,0.9514292180538177,0.9337502755216796,0.21454063057899475,10
19,session-1,wrist_flexion,0.7353237569332123,0.7399430739845256,0.6250990331172943,10
2,session-1,hand_close,0.43018825352191925,0.4370805623292589,1.0552325248718262,10
2,session-1,rest,0.4532904773950577,0.4402949968568678,0.7492044866085052,10
2,session-1,wrist_extension,0.7969730496406555,0.7558534668842203,1.0189092755317688,10
2,session-1,wrist_flexion,0.4090697765350342,0.3300847781253883,1.3803181648254395,10
20,session-1,hand_close,0.5313166826963425,0.4400604869130619,0.49020007252693176,10
20,session-1,rest,0.5627561211585999,0.5178295159641872,0.9971069395542145,10
20,session-1,wrist_extension,0.8269931674003601,0.7628430518901405,0.6295705437660217,10
20,session-1,wrist_flexion,0.44012215733528137,0.31143547292275064,0.5495253503322601,10
21,session-1,hand_close,0.5520168542861938,0.5444758558541319,0.8129115700721741,10
21,session-1,rest,0.7611752450466156,0.7600514275676684,0.6200947165489197,10
21,session-1,wrist_extension,0.872779905796051,0.8291421259382104,1.2697935700416565,10
21,session-1,wrist_flexion,0.5557822585105896,0.5835723889673301,1.0141294598579407,10
22,session-1,hand_close,0.5533169806003571,0.5284658185307369,0.5921528339385986,10
22,session-1,rest,0.7384421825408936,0.6203455892473249,0.44490762054920197,10
22,session-1,wrist_extension,0.9279247522354126,0.9136786024348902,0.5859845876693726,10
22,session-1,wrist_flexion,0.5922289788722992,0.5532172849822359,0.6757020056247711,10
23,session-1,hand_close,0.8366132080554962,0.7629431184506574,0.35792140662670135,10
23,session-1,rest,0.8404057025909424,0.8294138248364041,0.28226950764656067,10
23,session-1,wrist_extension,0.9534707069396973,0.9388469185848131,0.5806007087230682,10
23,session-1,wrist_flexion,0.8863462209701538,0.8396506663835439,0.3260525166988373,10
24,session-1,hand_close,0.6773678660392761,0.6277168038390812,0.7088611721992493,10
24,session-1,rest,0.6835084855556488,0.6924325252151872,0.3995390087366104,10
24,session-1,wrist_extension,0.9649689793586731,0.9536734191664469,0.7587239742279053,10
24,session-1,wrist_flexion,0.5752372443675995,0.5035695489635131,0.5076162070035934,10
25,session-1,hand_close,0.5954198837280273,0.5369839130114069,0.5836040675640106,10
25,session-1,rest,0.6641542017459869,0.5040881608761827,0.39090412855148315,10
25,session-1,wrist_extension,0.889411598443985,0.877542458980518,0.8492810726165771,10
25,session-1,wrist_flexion,0.7082849442958832,0.6979370098485036,0.3559422343969345,10
26,session-1,hand_close,0.4367333799600601,0.30397869833515995,0.6295379996299744,10
26,session-1,rest,0.6446277499198914,0.5992018083241688,0.6650748550891876,10
26,session-1,wrist_extension,0.9516614973545074,0.9381478230874065,0.518005982041359,10
26,session-1,wrist_flexion,0.8247814476490021,0.8332351709982581,0.4699157774448395,10
27,session-1,hand_close,0.7975700497627258,0.7935143903886366,0.43830685317516327,10
27,session-1,rest,0.7795215249061584,0.746498583384603,0.3254907876253128,10
27,session-1,wrist_extension,0.9737211465835571,0.9639426233033361,0.8160288333892822,10
27,session-1,wrist_flexion,0.811290979385376,0.7834214704655751,0.3853680342435837,10
28,session-1,hand_close,0.7957085371017456,0.7779571770783682,0.2673743814229965,10
28,session-1,rest,0.7609120309352875,0.7724929018060692,0.3233918249607086,10
28,session-1,wrist_extension,0.8747658729553223,0.8423899738631336,0.6081644594669342,10
28,session-1,wrist_flexion,0.6938736438751221,0.6996084649984433,0.29756394028663635,10
29,session-1,hand_close,0.6730346977710724,0.6797724625026138,0.3671794831752777,10
29,session-1,rest,0.7856534719467163,0.7759637392211775,0.34933631122112274,10
29,session-1,wrist_extension,0.961118072271347,0.9496184580442157,0.4301437735557556,10
29,session-1,wrist_flexion,0.7442223727703094,0.7337601308405279,0.29909390211105347,10
3,session-1,hand_close,0.4729846715927124,0.493347685287181,0.935826450586319,10
3,session-1,rest,0.8251685798168182,0.7415740659497233,0.37462808191776276,6
3,session-1,wrist_extension,0.6788506805896759,0.6617908648253845,0.9161841571331024,10
3,session-1,wrist_flexion,0.6474084258079529,0.6081425456730256,0.7007740437984467,10
30,session-1,hand_close,0.7379941344261169,0.6451878093354915,0.3127332925796509,10
30,session-1,rest,0.885998010635376,0.8898207067282613,0.24593281745910645,10
30,session-1,wrist_extension,0.9740644693374634,0.9616836527262692,0.5793515741825104,10
30,session-1,wrist_flexion,0.8972557187080383,0.8833148688762005,0.2529240846633911,10
31,session-1,hand_close,0.7843403220176697,0.7460101567330222,0.5196848064661026,10
31,session-1,rest,0.8487874865531921,0.7976541415068549,0.42840082943439484,10
31,session-1,wrist_extension,0.3304535001516342,0.2818154651172823,0.6116503775119781,10
31,session-1,wrist_flexion,0.5649110972881317,0.4171233992421035,0.6405534446239471,10
32,session-1,hand_close,0.5914392620325089,0.4541333316798204,0.4267241060733795,10
32,session-1,rest,0.6132895052433014,0.5576691419513378,0.6088861227035522,10
32,session-1,wrist_extension,0.9464195966720581,0.9318906116858028,0.38622473180294037,10
32,session-1,wrist_flexion,0.7850623428821564,0.7542995372090224,0.5023011565208435,10
33,session-1,hand_close,0.6576460599899292,0.5964841737934934,0.32208357751369476,10
33,session-1,rest,0.5904147624969482,0.5696822426680426,0.42712631821632385,10
33,session-1,wrist_extension,0.9805938601493835,0.9747160603990114,0.5292180180549622,10
33,session-1,wrist_flexion,0.72331303358078,0.7077381092337247,0.3763517439365387,10
34,session-1,hand_close,0.7592009007930756,0.6682229032739877,0.5104023814201355,10
34,session-1,rest,0.7304790318012238,0.6450660742494367,0.40105874836444855,10
34,session-1,wrist_extension,0.8299928307533264,0.8378450956992318,0.33275948464870453,10
34,session-1,wrist_flexion,0.8298773169517517,0.7680102026097495,0.4128713756799698,10
35,session-1,hand_close,0.8471308946609497,0.750697402740512,0.376339390873909,10
35,session-1,rest,0.702044278383255,0.5984592023626385,0.43543097376823425,10
35,session-1,wrist_extension,0.6868701577186584,0.6533146877480875,0.8036185204982758,10
35,session-1,wrist_flexion,0.6981591582298279,0.5688645933908096,0.5553998947143555,10
36,session-1,hand_close,0.7169868648052216,0.7064536056121271,0.504576101899147,10
36,session-1,rest,0.8167573511600494,0.8337233404115598,0.30810709297657013,10
36,session-1,wrist_extension,0.9778449237346649,0.9705248445704886,0.37535813450813293,10
36,session-1,wrist_flexion,0.8124616146087646,0.8219670501741854,0.4159010201692581,10
