candidate_id,feature_arm,model_name,fold,feature_dimension,fit_windows,holdout_windows,holdout_trials,holdout_subjects,fit_seconds,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,window_macro_precision,window_macro_recall,window_cohen_kappa,trial_accuracy,trial_balanced_accuracy,trial_macro_f1,trial_weighted_f1,trial_macro_precision,trial_macro_recall,trial_cohen_kappa
F-TD8__dummy_most_frequent,F-TD8,dummy_most_frequent,0,128,108864,28224,588,7,0.5261354309999433,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-TD8__dummy_most_frequent,F-TD8,dummy_most_frequent,1,128,108864,28224,588,7,0.5097172519999731,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-TD8__dummy_most_frequent,F-TD8,dummy_most_frequent,2,128,112896,24192,504,6,0.43642240500003027,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-TD8__dummy_most_frequent,F-TD8,dummy_most_frequent,3,128,108864,28224,588,7,0.6973134049999317,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-TD8__dummy_most_frequent,F-TD8,dummy_most_frequent,4,128,108864,28224,588,7,1.0069245270000238,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-TD8__lda_shrinkage,F-TD8,lda_shrinkage,0,128,108864,28224,588,7,1.9728483229999938,0.8298965419501134,0.8298965419501133,0.8317850490223908,0.8317850490223908,0.848883175226157,0.8298965419501133,0.7731953892668179,0.923469387755102,0.923469387755102,0.9241672765873216,0.9241672765873215,0.9323693203952261,0.923469387755102,0.8979591836734694
F-TD8__lda_shrinkage,F-TD8,lda_shrinkage,1,128,108864,28224,588,7,1.8917884349999667,0.8298965419501134,0.8298965419501134,0.8295314132533007,0.8295314132533006,0.8459058791403071,0.8298965419501134,0.7731953892668179,0.8843537414965986,0.8843537414965985,0.8838051229486688,0.8838051229486686,0.8951883547806431,0.8843537414965985,0.8458049886621315
F-TD8__lda_shrinkage,F-TD8,lda_shrinkage,2,128,112896,24192,504,6,1.9273177419999001,0.8759920634920635,0.8759920634920635,0.8777186804794411,0.8777186804794411,0.886171549446595,0.8759920634920635,0.8346560846560847,0.9682539682539683,0.9682539682539684,0.9681798873161096,0.9681798873161097,0.9686522634054148,0.9682539682539684,0.9576719576719577
F-TD8__lda_shrinkage,F-TD8,lda_shrinkage,3,128,108864,28224,588,7,1.900884837000035,0.8249362244897959,0.824936224489796,0.831082038854262,0.831082038854262,0.8581462378937816,0.824936224489796,0.7665816326530612,0.9030612244897959,0.903061224489796,0.9063446513531781,0.9063446513531782,0.9250248701506366,0.903061224489796,0.8707482993197279
F-TD8__lda_shrinkage,F-TD8,lda_shrinkage,4,128,108864,28224,588,7,3.1050285009999925,0.8618197278911565,0.8618197278911565,0.8644264672151222,0.8644264672151223,0.8792305723031192,0.8618197278911565,0.8157596371882087,0.9506802721088435,0.9506802721088435,0.9508861592144291,0.9508861592144292,0.9529243072061082,0.9506802721088435,0.9342403628117913
F-TD8__logistic_regression,F-TD8,logistic_regression,0,128,108864,28224,588,7,67.28434607400004,0.9067106009070295,0.9067106009070295,0.9066189246818002,0.9066189246818002,0.9113631785922858,0.9067106009070295,0.875614134542706,0.9489795918367347,0.9489795918367346,0.9496733496613723,0.9496733496613722,0.9558837669822263,0.9489795918367346,0.9319727891156463
F-TD8__logistic_regression,F-TD8,logistic_regression,1,128,108864,28224,588,7,68.08020618,0.9225836167800453,0.9225836167800453,0.9218134737839604,0.9218134737839604,0.9230595158626334,0.9225836167800453,0.8967781557067271,0.9591836734693877,0.9591836734693877,0.9591428309323615,0.9591428309323615,0.9604549613307575,0.9591836734693877,0.9455782312925171
F-TD8__logistic_regression,F-TD8,logistic_regression,2,128,112896,24192,504,6,68.44904748900001,0.9446924603174603,0.9446924603174602,0.9448932306278652,0.9448932306278652,0.9466814809660927,0.9446924603174602,0.9262566137566137,0.9880952380952381,0.9880952380952381,0.9880711462450593,0.9880711462450593,0.9880937261874524,0.9880952380952381,0.9841269841269842
F-TD8__logistic_regression,F-TD8,logistic_regression,3,128,108864,28224,588,7,70.04159663899998,0.926374716553288,0.926374716553288,0.9267441975737551,0.9267441975737551,0.9291906366239345,0.926374716553288,0.901832955404384,0.9642857142857143,0.9642857142857142,0.9643833572335122,0.9643833572335121,0.965181556854538,0.9642857142857142,0.9523809523809523
F-TD8__logistic_regression,F-TD8,logistic_regression,4,128,108864,28224,588,7,69.38137626800005,0.9381023242630385,0.9381023242630386,0.9378620152676919,0.937862015267692,0.9388135734061493,0.9381023242630386,0.9174697656840514,0.967687074829932,0.967687074829932,0.9675431278079888,0.9675431278079888,0.9677186550115789,0.967687074829932,0.9569160997732427
F-TD8__linear_svm,F-TD8,linear_svm,0,128,108864,28224,588,7,60.6446003289999,0.9046910430839002,0.9046910430839002,0.9036976240107546,0.9036976240107547,0.9097676227769423,0.9046910430839002,0.8729213907785336,0.9523809523809523,0.9523809523809524,0.952809111569176,0.952809111569176,0.9576160906261032,0.9523809523809524,0.9365079365079365
F-TD8__linear_svm,F-TD8,linear_svm,1,128,108864,28224,588,7,60.462417707999975,0.9287485827664399,0.9287485827664399,0.9276064348429975,0.9276064348429975,0.9285878590765988,0.9287485827664399,0.9049981103552532,0.9642857142857143,0.9642857142857143,0.9640498200556719,0.9640498200556719,0.9651865393582437,0.9642857142857143,0.9523809523809523
F-TD8__linear_svm,F-TD8,linear_svm,2,128,112896,24192,504,6,67.12241762999997,0.9390294312169312,0.9390294312169312,0.9391617267941406,0.9391617267941407,0.9413488367789945,0.9390294312169312,0.9187059082892416,0.9821428571428571,0.9821428571428572,0.9821425759412941,0.9821425759412942,0.9821574803149606,0.9821428571428572,0.9761904761904762
F-TD8__linear_svm,F-TD8,linear_svm,3,128,108864,28224,588,7,63.662336450999874,0.934594671201814,0.934594671201814,0.9350993855769558,0.9350993855769558,0.9387344885698685,0.934594671201814,0.9127928949357521,0.9710884353741497,0.9710884353741497,0.9711995677912941,0.9711995677912942,0.9721937066506925,0.9710884353741497,0.9614512471655329
F-TD8__linear_svm,F-TD8,linear_svm,4,128,108864,28224,588,7,61.96315566699991,0.9328939909297053,0.9328939909297052,0.9325178640068361,0.9325178640068361,0.9341693271102531,0.9328939909297052,0.9105253212396069,0.9693877551020408,0.9693877551020408,0.9693027818027818,0.9693027818027817,0.9697138396665219,0.9693877551020408,0.9591836734693877
F-SP6__dummy_most_frequent,F-SP6,dummy_most_frequent,0,96,108864,28224,588,7,1.0425167700000202,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-SP6__dummy_most_frequent,F-SP6,dummy_most_frequent,1,96,108864,28224,588,7,1.2106997500000034,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-SP6__dummy_most_frequent,F-SP6,dummy_most_frequent,2,96,112896,24192,504,6,1.0902534940000805,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
