k,session_id,n_prediction_rows_across_episodes,p0_accuracy,p0_balanced_accuracy,p0_macro_f1,p0_macro_precision,p0_macro_recall,p1_accuracy,p1_balanced_accuracy,p1_macro_f1,p1_macro_precision,p1_macro_recall,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_macro_precision,delta_macro_recall
2,0,1920,0.7546875,0.7546875,0.7462474557591641,0.7656992466429853,0.7546875,0.8052083333333333,0.8052083333333333,0.8054358918575215,0.8290274833007087,0.8052083333333333,0.05052083333333335,0.05052083333333335,0.059188436098357444,0.06332823665772347,0.05052083333333335
3,0,1280,0.753125,0.753125,0.7432586042010271,0.7642610845837585,0.753125,0.784375,0.784375,0.7811510884725166,0.7975538323408494,0.784375,0.03125,0.03125,0.0378924842714895,0.0332927477570909,0.03125
