episode_id,subject_id,k,seed,scope,n_calibration_trials,n_evaluation_trials,p0_accuracy,p0_balanced_accuracy,p0_macro_f1,p0_macro_precision,p0_macro_recall,p1_accuracy,p1_balanced_accuracy,p1_macro_f1,p1_macro_precision,p1_macro_recall,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_macro_precision,delta_macro_recall
mendeley-S15-K3-seed3416,15,3,3416,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.75,0.75,0.75,0.875,0.75,-0.125,-0.125,-0.1166666666666667,-0.04166666666666663,-0.125
mendeley-S21-K3-seed3416,21,3,3416,all_eval,12,8,0.5,0.5,0.41666666666666663,0.375,0.5,0.5,0.5,0.41666666666666663,0.375,0.5,0.0,0.0,0.0,0.0,0.0
mendeley-S23-K3-seed3416,23,3,3416,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.625,0.625,0.5595238095238095,0.6,0.625,0.125,0.125,0.18452380952380953,0.26666666666666666,0.125
mendeley-S25-K3-seed3416,25,3,3416,all_eval,12,8,0.625,0.625,0.5595238095238095,0.6,0.625,0.75,0.75,0.6666666666666666,0.625,0.75,0.125,0.125,0.1071428571428571,0.025000000000000022,0.125
mendeley-S35-K3-seed3416,35,3,3416,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.75,0.75,0.75,0.875,0.75,0.25,0.25,0.375,0.5416666666666667,0.25
mendeley-S40-K3-seed3416,40,3,3416,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K3-seed3416,6,3,3416,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S10-K3-seed3417,10,3,3417,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.75,0.75,0.75,0.75,0.75,-0.125,-0.125,-0.1166666666666667,-0.16666666666666663,-0.125
mendeley-S15-K3-seed3417,15,3,3417,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,-0.125,-0.125,-0.1333333333333333,-0.08333333333333337,-0.125
mendeley-S21-K3-seed3417,21,3,3417,all_eval,12,8,0.625,0.625,0.55,0.5,0.625,0.75,0.75,0.65,0.5833333333333333,0.75,0.125,0.125,0.09999999999999998,0.08333333333333326,0.125
mendeley-S23-K3-seed3417,23,3,3417,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.625,0.625,0.5595238095238095,0.6,0.625,0.125,0.125,0.18452380952380953,0.26666666666666666,0.125
mendeley-S25-K3-seed3417,25,3,3417,all_eval,12,8,0.75,0.75,0.6666666666666666,0.625,0.75,0.75,0.75,0.6666666666666666,0.625,0.75,0.0,0.0,0.0,0.0,0.0
mendeley-S35-K3-seed3417,35,3,3417,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.75,0.75,0.75,0.875,0.75,0.25,0.25,0.375,0.5416666666666667,0.25
mendeley-S40-K3-seed3417,40,3,3417,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K3-seed3417,6,3,3417,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S10-K3-seed3418,10,3,3418,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.0,0.0,0.0,0.0,0.0
mendeley-S15-K3-seed3418,15,3,3418,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.625,0.625,0.5595238095238095,0.6,0.625,-0.25,-0.25,-0.30714285714285716,-0.31666666666666665,-0.25
mendeley-S21-K3-seed3418,21,3,3418,all_eval,12,8,0.5,0.5,0.4,0.3333333333333333,0.5,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.375,0.375,0.4666666666666667,0.5833333333333333,0.375
mendeley-S23-K3-seed3418,23,3,3418,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.625,0.625,0.5595238095238095,0.6,0.625,0.125,0.125,0.18452380952380953,0.26666666666666666,0.125
mendeley-S25-K3-seed3418,25,3,3418,all_eval,12,8,0.625,0.625,0.5595238095238095,0.6,0.625,0.75,0.75,0.6666666666666666,0.625,0.75,0.125,0.125,0.1071428571428571,0.025000000000000022,0.125
mendeley-S35-K3-seed3418,35,3,3418,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.5,0.5,0.375,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0
mendeley-S40-K3-seed3418,40,3,3418,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K3-seed3418,6,3,3418,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S10-K3-seed3419,10,3,3419,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.0,0.0,0.0,0.0,0.0
mendeley-S15-K3-seed3419,15,3,3419,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.625,0.625,0.5595238095238095,0.6,0.625,-0.25,-0.25,-0.30714285714285716,-0.31666666666666665,-0.25
mendeley-S21-K3-seed3419,21,3,3419,all_eval,12,8,0.5,0.5,0.4,0.3333333333333333,0.5,0.75,0.75,0.7333333333333334,0.8333333333333333,0.75,0.25,0.25,0.33333333333333337,0.49999999999999994,0.25
mendeley-S23-K3-seed3419,23,3,3419,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.5,0.5,0.375,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0
mendeley-S25-K3-seed3419,25,3,3419,all_eval,12,8,0.625,0.625,0.5595238095238095,0.6,0.625,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.25,0.25,0.30714285714285716,0.31666666666666665,0.25
mendeley-S35-K3-seed3419,35,3,3419,all_eval,12,8,0.625,0.625,0.5595238095238095,0.6,0.625,0.625,0.625,0.5595238095238095,0.6,0.625,0.0,0.0,0.0,0.0,0.0
mendeley-S40-K3-seed3419,40,3,3419,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K3-seed3419,6,3,3419,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S10-K3-seed3420,10,3,3420,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,-0.125,-0.125,-0.1333333333333333,-0.08333333333333337,-0.125
mendeley-S15-K3-seed3420,15,3,3420,all_eval,12,8,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.75,0.75,0.75,0.875,0.75,-0.125,-0.125,-0.1166666666666667,-0.04166666666666663,-0.125
mendeley-S21-K3-seed3420,21,3,3420,all_eval,12,8,0.5,0.5,0.41666666666666663,0.375,0.5,0.75,0.75,0.7416666666666667,0.7916666666666666,0.75,0.25,0.25,0.32500000000000007,0.41666666666666663,0.25
mendeley-S23-K3-seed3420,23,3,3420,all_eval,12,8,0.5,0.5,0.375,0.3333333333333333,0.5,0.625,0.625,0.5595238095238095,0.6,0.625,0.125,0.125,0.18452380952380953,0.26666666666666666,0.125
mendeley-S25-K3-seed3420,25,3,3420,all_eval,12,8,0.75,0.75,0.6666666666666666,0.625,0.75,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.125,0.125,0.20000000000000007,0.29166666666666663,0.125
mendeley-S35-K3-seed3420,35,3,3420,all_eval,12,8,0.625,0.625,0.5595238095238095,0.6,0.625,0.625,0.625,0.5595238095238095,0.6,0.625,0.0,0.0,0.0,0.0,0.0
mendeley-S40-K3-seed3420,40,3,3420,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K3-seed3420,6,3,3420,all_eval,12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
