k,class_label,n_evaluation_rows_across_episodes,p0_recall,p1_recall,delta_recall,p0_confidence_mean,p1_confidence_mean
2,rest,480,0.9041666666666667,0.8666666666666667,-0.03749999999999998,0.7936793785310735,0.5013235007667092
2,hand_close,480,0.6041666666666666,0.625,0.02083333333333337,0.740572033898305,0.4451440888486119
2,wrist_flexion,480,0.5104166666666666,0.7291666666666666,0.21875,0.738029661016949,0.4465924818496901
2,wrist_extension,480,1.0,1.0,0.0,0.9605579096045197,0.863078525903061
3,rest,320,0.9125,0.88125,-0.03125,0.7869703389830509,0.4531861435339325
3,hand_close,320,0.609375,0.615625,0.006249999999999978,0.7315148305084747,0.41098170039059767
3,wrist_flexion,320,0.490625,0.640625,0.15000000000000002,0.7248940677966103,0.4110505534997689
3,wrist_extension,320,1.0,1.0,0.0,0.9615995762711865,0.6581760010125199
